id,title,overview,genres,vote_average,original_language,keywords
47933,Independence Day: Resurgence,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.","Action, Adventure, Science Fiction",5.364,en,"sequel, alien, alien invasion"
840326,Sisu,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, German soldiers led by a brutal SS officer battle him.","Action, War, Thriller",7.404,fi,"world war ii, nordic mythology, gold prospector, 1940s, finnish mythology, bloody, violence, survival instinct, nazi pursuit, relentless chase, lapland wilderness, ss soldiers, silent warrior, enemy platoon"
509,Notting Hill,London bookstore owner William Thacker's quiet life turns upside down when a chance encounter with famous actress Anna Scott sparks an unlikely romance challenged by their vastly different worlds.,"Romance, Comedy",7.27,en,"new love, london, england, bookshop, roommates, press conference, paparazzi, interview, romcom, birthday party, fame, falling in love, group of friends, tabloid, valentine's day, movie star, nostalgic, social differences, movie set, dinner party, dating woes, wealth differences, awkward situation, movie theater, unexpected romance, best friends, unlikely romance, bookstore owner, famous actress, comforting, charming romances and delightful chemistry, bookshop owner"
1232569,Pinocchio: Unstrung,"Influenced by a sinister Cricket and created by Geppetto, Pinocchio launches a violent crusade to carve himself into a real boy like his brother James, one piece at a time.","Horror, Fantasy, Mystery",0.0,en,"lie, puppet, killer doll, dark fantasy, evil puppet, toy comes to life, mysterious, aggressive, teamwork, absurd, slasher horror, the twisted childhood universe (tcu), pinocchio"
302699,Central Intelligence,"Calvin Joyner, a mild-mannered accountant whose high school glory days are long behind him, reconnects with an awkward pal from high school through Facebook. After meeting up, Calvin’s mundane life takes an unexpectedly thrilling turn when he's thrust into the world of international espionage.","Action, Comedy",6.414,en,"central intelligence agency (cia), espionage, spy, secret agent, high school reunion, reconnect, accountant, radical transformation, high school classmates, glory days"
8871,How the Grinch Stole Christmas,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,"Family, Comedy, Fantasy",6.78,en,"new love, based on novel or book, holiday, christmas party, village, santa claus, surrealism, thief, public humiliation, christmas, surreal world"
258019,Gloria Mundi,"An actress of political torture movies made by her husband has to finish his latest film and arrange a screening for distributors while the husband, who is also secretly an anarchist revolutionary, is away for some resistance operation.",Drama,4.4,fr,"torturing police, film in film, torture, terrorism, political activist"
399055,The Shape of Water,"An other-worldly story, set against the backdrop of Cold War era America circa 1962, where a mute janitor working at a lab falls in love with an amphibious man being held captive there and devises a plan to help him escape.","Drama, Fantasy, Romance",7.236,en,"government, fairy tale, cold war, supernatural, baltimore, usa, laboratory, orphan, scientist, magic realism, capture, sign languages, 1960s, calm, interspecies romance, complex, fishman, amphibious creature, informative, interspecies sex"
147441,Exodus: Gods and Kings,"The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.","Adventure, Drama, Action",5.883,en,"moses, bible, racism, slave, ancient egypt, old testament, angry, aggressive, ramses, bitter, apathetic, callous, mean spirited, biblical epic"
250546,Annabelle,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,Horror,5.792,en,"halloween, prequel, evil doll, killer doll, spirit, demon, spin off, doll, demonic possession, ghost, killer toys, toy comes to life"
668489,Havoc,"When a drug heist swerves lethally out of control, a jaded cop fights his way through a corrupt city's criminal underworld to save a politician's son.","Action, Crime, Thriller, Drama",6.374,en,"winter, detective, rescue mission, shootout, dirty cop, police corruption, criminal underworld, crooked politician, hand to hand combat, broken family, estranged son, aggressive, christmas, drug deal, night club, brutal violence, street warfare"
9462,The Way of the Dragon,"After a Chinese restaurant in Rome is threatened by the mafia, who will stop at nothing to acquire the property, the owner recruits a family friend in Hong Kong, kung fu expert Tang Lung, to help them defend their business.","Action, Crime",7.4,cn,"martial arts, kung fu, rome, italy, colosseum, fight, culture clash, italy, gangster, restaurant, crime boss, chinese mafia, fistfight, honor, fish out of water, hong kong, east asian lead, combat, hoodlum, nunchaku, action hero, property"
11918,Superhero Movie,"Rick Riker is a nerdy teen imbued with superpowers by a radioactive dragonfly. And because every hero needs a nemesis, enter Lou Landers, aka the villainously goofy Hourglass.","Comedy, Action, Science Fiction",5.289,en,"high school, superhero, anti hero, parody, dragonfly, radioactivity, spoof, duringcreditsstinger, comedy, superhero parody, spoof film"
638665,Eeb Allay Ooo!,"Hired as a monkey repeller upon moving to Delhi, a young man struggles to find his footing in his unenviable job and his place in the unforgiving world.","Comedy, Drama",7.455,hi,"delhi, india, monkey, new job"
60304,Hansel & Gretel: Witch Hunters,"After getting a taste for blood as children, Hansel and Gretel have become the ultimate vigilantes, hell-bent on retribution. Now, unbeknownst to them, Hansel and Gretel have become the hunted, and must face an evil far greater than witches... their past.","Fantasy, Horror, Action",6.103,en,"witch, gun, witch burning, black magic, troll, steampunk, witchcraft, evil, witch hunt, evil witch, based on fairy tale, duringcreditsstinger, nude swimming, child abduction, blood moon"
257354,Busty Cops: Protect and Serve!,"The Busty Cops are back, and must prevent Finkel and Billy Viscious from winning an election by any means necessary.","Comedy, Crime, Mystery, Romance",4.778,en,"pornography, busty, softcore, policewoman"
13448,Angels & Demons,"Harvard symbologist Robert Langdon is recruited by the Vatican to investigate the apparent return of the Illuminati – a secret, underground organization – after four cardinals are kidnapped on the night of the papal conclave.","Thriller, Mystery",6.72,en,"based on novel or book, rome, italy, vatican (holy see), symbolism, illuminati, quantum mechanics, prequel, anti matter, conspiracy, investigator, catholicism, cern, conspiracy thriller, suspense mystery"
342473,Ballerina,"In 1879 Paris, a young orphan dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house.","Animation, Adventure, Comedy, Family",7.211,en,"opera, dance, paris, france, flying, inventor, life's dream, ballet, orphan, statue of liberty, eiffel tower, paris, 19th century"
914,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"Comedy, War",8.277,en,"amnesia, nazi, hairdresser, propaganda, world war i, dictator, jewish ghetto, fascism, world war ii, national socialism, national socialist party, satire, speech, black and white, barbershop, anti war, fictitious country, domineering, inspirational, dramatic"
488623,Forgotten,"Jin-seok, 21-year-old, moves into a new house with his family. He suffers from a slight schizophrenia but he carries an ordinary life under the warm care of the family. His older brother Yu-seok is a decent college student, a mentor, and role model for Jin-seok.  One night, his beloved brother is kidnapped by unidentified assailants before Jin-seok's eye. Jin-seok can’t recognize their faces, but can remember only the VIN that matches with no car. After long silence of 19 days, suddenly Yu-seok returns home, but remembers nothing which had happened in the meantime. And soon Jin-seok feels Yu-seok is a total stranger.","Thriller, Mystery, Crime",7.886,ko,"hypnosis, revenge, murder, brother brother relationship, malicious, critical"
405774,Bird Box,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.","Horror, Thriller, Drama",6.824,en,"based on novel or book, post-apocalyptic future, blindfold, doomsday, survival horror, woman director, white water rafting, depressing, disheartening"
6795,Zathura: A Space Adventure,"After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home.","Science Fiction, Adventure, Family",6.444,en,"fire, based on novel or book, killer robot, house, space travel, wish, meteor, challenge, giant lizard, alien, space, board game, planet, astronaut, game, hardship, little brother, alternative reality, trapped in space, space adventure, space pirate, children's adventure, meteor shower, jealous brother, brother brother relationship, alien spaceship, big brother, brothers, big sister, challenges, child"
1111873,Abigail,"A group of criminals kidnap a teenage ballet dancer, the daughter of a notorious gang leader, in order to obtain a ransom of $50 million, but over time, they discover that she is not just an ordinary girl. After the kidnappers begin to diminish, one by one, they discover, to their increasing horror, that they are locked inside with no normal little girl.","Horror, Thriller",6.664,en,"ransom, vampire, kidnapping, halloween, dark comedy, child vampire, gothic horror, exploding body, ballerina, reverse trap, dracula, evil kid"
4977,Paprika,"When a machine that allows therapists to enter their patient's dreams is stolen, all hell breaks loose. Only a young female therapist can stop it and recover it before damage is done: Paprika.","Animation, Science Fiction, Thriller",7.815,ja,"research, japan, dreams, based on novel or book, procession, psychoanalysis, mad scientist, dream girl, parallel world, adult animation, dream world, anime, avant garde, witty, vibrant"
